Plot,pGrass,Rep,Brich,FFrich
1,10,1,3,0
2,60,1,3,1
3,30,1,2,1
4,60,2,7,4
5,70,1,2,2
6,50,1,3,1
7,0,1,2,0
8,70,2,3,0
9,40,1,4,2
10,0,2,3,2
11,10,2,4,4
12,30,2,7,2
13,20,1,3,1
14,70,3,1,1
15,100,1,1,4
16,40,2,3,2
17,100,2,1,0
18,50,2,3,4
19,10,3,4,1
20,30,3,2,2
21,80,1,2,4
22,10,4,2,1
23,20,2,3,4
24,0,3,6,3
25,10,5,4,4
26,70,4,5,0
27,40,3,3,1
28,100,3,3,2
29,40,4,3,2
30,60,3,4,5
31,40,5,4,2
32,80,2,3,2
33,90,2,1,2
34,50,3,2,1
35,20,3,3,2
36,90,3,0,2
37,50,4,2,2
38,20,4,4,3
39,80,3,1,1
41,100,4,0,0
42,30,4,6,3
43,50,5,2,1
44,90,4,2,2
45,60,4,3,1
46,0,4,2,2
47,70,5,3,4
48,60,5,3,1
49,90,5,1,1
50,0,5,0,2
51,80,4,6,2
52,100,5,2,0
53,20,5,6,1
54,80,5,2,2
55,30,5,4,3
